,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Android'}),0.5625,0.875,0.5,0.8888888888888888,1.0158730158730158,0.0078125,1.1249999999999996
1,frozenset({'Google Play'}),frozenset({'Android'}),0.59375,0.875,0.53125,0.8947368421052632,1.0225563909774436,0.01171875,1.1875
2,frozenset({'Instagram'}),frozenset({'Android'}),0.3125,0.875,0.28125,0.9,1.0285714285714287,0.0078125,1.2500000000000002
3,frozenset({'Mercado Livre'}),frozenset({'Android'}),0.8125,0.875,0.75,0.9230769230769231,1.054945054945055,0.0390625,1.625000000000001
4,frozenset({'Android'}),frozenset({'Mercado Livre'}),0.875,0.8125,0.75,0.8571428571428571,1.054945054945055,0.0390625,1.3124999999999996
5,frozenset({'Nenhum desses / Não uso'}),frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
6,frozenset({'Netflix'}),frozenset({'Android'}),0.71875,0.875,0.59375,0.8260869565217391,0.9440993788819876,-0.03515625,0.71875
7,frozenset({'Antivírus'}),frozenset({'Android'}),0.34375,0.875,0.3125,0.9090909090909091,1.0389610389610389,0.01171875,1.3749999999999996
8,frozenset({'Android'}),frozenset({'Backup'}),0.875,0.84375,0.71875,0.8214285714285714,0.9735449735449735,-0.01953125,0.8749999999999999
9,frozenset({'Backup'}),frozenset({'Android'}),0.84375,0.875,0.71875,0.8518518518518519,0.9735449735449736,-0.01953125,0.84375
10,frozenset({'Banco'}),frozenset({'Android'}),0.875,0.875,0.75,0.8571428571428571,0.9795918367346939,-0.015625,0.8749999999999997
11,frozenset({'Android'}),frozenset({'Banco'}),0.875,0.875,0.75,0.8571428571428571,0.9795918367346939,-0.015625,0.8749999999999997
12,frozenset({'Android'}),frozenset({'Compras'}),0.875,0.9375,0.84375,0.9642857142857143,1.0285714285714287,0.0234375,1.7500000000000009
13,frozenset({'Compras'}),frozenset({'Android'}),0.9375,0.875,0.84375,0.9,1.0285714285714287,0.0234375,1.2500000000000002
14,frozenset({'Não uso nenhum desses/Não viajo'}),frozenset({'Android'}),0.625,0.875,0.5625,0.9,1.0285714285714287,0.015625,1.2500000000000002
15,frozenset({'Não utilizo meu Smartphone para comprar ingressos/inscrever em eventos'}),frozenset({'Android'}),0.5,0.875,0.40625,0.8125,0.9285714285714286,-0.03125,0.6666666666666666
16,frozenset({'Não utilizo meu smartphone para nenhum dos serviços acima'}),frozenset({'Android'}),0.34375,0.875,0.34375,1.0,1.1428571428571428,0.04296875,inf
17,frozenset({'Não utilizo nenhum desses apps de delivery'}),frozenset({'Android'}),0.65625,0.875,0.59375,0.9047619047619048,1.034013605442177,0.01953125,1.3125
18,frozenset({'Sympla'}),frozenset({'Android'}),0.34375,0.875,0.34375,1.0,1.1428571428571428,0.04296875,inf
19,frozenset({'WhastApp Messenger'}),frozenset({'Android'}),0.625,0.875,0.53125,0.85,0.9714285714285714,-0.015625,0.8333333333333333
20,frozenset({'Youtube'}),frozenset({'Android'}),0.90625,0.875,0.8125,0.896551724137931,1.0246305418719213,0.01953125,1.2083333333333335
21,frozenset({'Android'}),frozenset({'Youtube'}),0.875,0.90625,0.8125,0.9285714285714286,1.0246305418719213,0.01953125,1.3125000000000007
22,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Mercado Livre'}),0.5625,0.8125,0.53125,0.9444444444444444,1.1623931623931623,0.07421875,3.3749999999999987
23,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Backup'}),0.5625,0.84375,0.5,0.8888888888888888,1.0534979423868311,0.025390625,1.4062499999999993
24,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Banco'}),0.5625,0.875,0.5,0.8888888888888888,1.0158730158730158,0.0078125,1.1249999999999996
25,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Compras'}),0.5625,0.9375,0.5,0.8888888888888888,0.9481481481481481,-0.02734375,0.5624999999999998
26,frozenset({'Eletroeletrônicos / Eletrodomésticos'}),frozenset({'Youtube'}),0.5625,0.90625,0.5,0.8888888888888888,0.9808429118773946,-0.009765625,0.8437499999999997
27,frozenset({'iFood'}),frozenset({'Eletroeletrônicos / Eletrodomésticos'}),0.25,0.5625,0.21875,0.875,1.5555555555555556,0.078125,3.5
28,frozenset({'Google Play'}),frozenset({'Mercado Livre'}),0.59375,0.8125,0.5,0.8421052631578947,1.0364372469635628,0.017578125,1.1874999999999996
29,frozenset({'Google Play'}),frozenset({'Backup'}),0.59375,0.84375,0.5,0.8421052631578947,0.9980506822612085,-0.0009765625,0.989583333333333
30,frozenset({'Google Play'}),frozenset({'Banco'}),0.59375,0.875,0.5,0.8421052631578947,0.9624060150375939,-0.01953125,0.7916666666666664
31,frozenset({'Google Play'}),frozenset({'Compras'}),0.59375,0.9375,0.5625,0.9473684210526315,1.0105263157894737,0.005859375,1.187499999999999
32,frozenset({'Google Play'}),frozenset({'Youtube'}),0.59375,0.90625,0.53125,0.8947368421052632,0.9872958257713249,-0.0068359375,0.890625
33,frozenset({'Instagram'}),frozenset({'Mercado Livre'}),0.3125,0.8125,0.25,0.8,0.9846153846153847,-0.00390625,0.9375000000000002
34,frozenset({'Instagram'}),frozenset({'Backup'}),0.3125,0.84375,0.3125,1.0,1.1851851851851851,0.048828125,inf
35,frozenset({'Instagram'}),frozenset({'Banco'}),0.3125,0.875,0.25,0.8,0.9142857142857144,-0.0234375,0.6250000000000001
36,frozenset({'Instagram'}),frozenset({'Compras'}),0.3125,0.9375,0.3125,1.0,1.0666666666666667,0.01953125,inf
37,frozenset({'Instagram'}),frozenset({'Não uso nenhum desses/Não viajo'}),0.3125,0.625,0.25,0.8,1.28,0.0546875,1.8750000000000004
38,frozenset({'Instagram'}),frozenset({'Youtube'}),0.3125,0.90625,0.3125,1.0,1.103448275862069,0.029296875,inf
39,frozenset({'Nenhum desses / Não uso'}),frozenset({'Mercado Livre'}),0.21875,0.8125,0.21875,1.0,1.2307692307692308,0.041015625,inf
40,frozenset({'Antivírus'}),frozenset({'Mercado Livre'}),0.34375,0.8125,0.3125,0.9090909090909091,1.1188811188811187,0.033203125,2.062499999999999
41,frozenset({'Mercado Livre'}),frozenset({'Backup'}),0.8125,0.84375,0.65625,0.8076923076923077,0.9572649572649573,-0.029296875,0.8125000000000001
42,frozenset({'Mercado Livre'}),frozenset({'Banco'}),0.8125,0.875,0.6875,0.8461538461538461,0.967032967032967,-0.0234375,0.8125
43,frozenset({'Mercado Livre'}),frozenset({'Compras'}),0.8125,0.9375,0.78125,0.9615384615384616,1.0256410256410258,0.01953125,1.625000000000001
44,frozenset({'Compras'}),frozenset({'Mercado Livre'}),0.9375,0.8125,0.78125,0.8333333333333334,1.0256410256410258,0.01953125,1.1250000000000002
